Brand,Category,Product,Size,Cost,Likes,Perfume_size,No_of_reviews,Rating
"Estee-lauder
",Skincare,Revitalizing Supreme+ Global Anti-Aging Instant Refinishing Facial,SIZE 2.5 oz/ 75 mL•ITEM 1983220,$60.00 ,324 loves,NA,2 reviews,5
"Estee-lauder
",Skincare,Revitalizing Supreme+ Global Anti- Aging Instant Refinishing Facial,SIZE 2.5 oz/ 75 mL•ITEM 1983220,$60.00 ,0 loves,NA,e,f
"Estee-lauder
",Skincare,Perfectly Clean Multi-Action Cleansing Gelée/ Refiner,SIZE 5 oz/ 150 mL•ITEM 1527001,$28.00 ,791 loves,NA,8 reviews,4
"Estee-lauder
",Skincare,Revitalizing Supreme Global Anti-Aging Mask Boost,SIZE 2.5 oz/ 75 mL•ITEM 1679133,$68.00 ,970 loves,NA,10 reviews,4.5
"Estee-lauder
",Skincare,Perfectly Clean Multi-Action Creme Cleanser/Moisture Mask,SIZE 5 oz/ 150 mL•ITEM 1520295,$28.00 ,1058 loves,NA,11 reviews,3.9
"Estee-lauder
",Skincare,Advanced Night Micro Cleansing Balm,SIZE 2.5 oz/ 74 mL•ITEM 1803030,$46.00 ,3193 loves,NA,37 reviews,4.8
"Estee-lauder
",Skincare,Advanced Night Micro Cleansing Foam,SIZE 3.4 oz/ 101 mL•ITEM 1824648,$30.00 ,923 loves,NA,16 reviews,3.9
"Estee-lauder
",Skincare,Micro Essence Aquaceutical™ Mist,SIZE 2.5 oz/ 75 mL•ITEM 1892223,$68.00 ,793 loves,NA,2 reviews,5
"Estee-lauder
",Skincare,Perfectionist Pro Rapid Firm + Lift Treatment,SIZE 1 oz/ 30 mL•ITEM 2032043,$75.00 ,1068 loves,NA,3 reviews,5
"Estee-lauder
",Skincare,Resilience Lift Night Lifting/Firming Face and Neck Creme,SIZE 1.7 oz/ 50 mL•ITEM 1991660,$92.00 ,567 loves,NA,4 reviews,4.8
"Estee-lauder
",Skincare,Soft Clean Silky Hydrating Lotion,ITEM 1761196,$32.00 ,1542 loves,SIZE: 13.5 oz/ 399 mL,8 reviews,4.5
"Estee-lauder
",Skincare,Supreme Starter Set,ITEM 1681683,$35.00 ,8406 loves,NA,21 reviews,4.1
"Estee-lauder
",Skincare,Nutritious Vitality8™ Night Detox Concentrate,SIZE 1 oz/ 30 mL•ITEM 1681725,$82.00 ,633 loves,NA,3 reviews,4
"Estee-lauder
",Skincare,Nutritious Vitality8™ Radiant Dual-Phase Emulsion,SIZE 3.4 oz/ 100 mL•ITEM 1681717,$64.00 ,1025 loves,NA,4 reviews,4
"Estee-lauder
",Skincare,"Resilience Lift Firming/Sculpting Face and Neck Lotion Broad Spectrum SPF 15, Normal/Combination",SIZE 1.7 oz•ITEM 1468024,$82.00 ,641 loves,NA,3 reviews,3.3
"Estee-lauder
",Skincare,Perfectionist Pro Instant Wrinkle Filler Tri-Polymer Blend,SIZE 0.5 oz/ 15 mL•ITEM 2032050,$54.00 ,605 loves,NA,e,f
"Estee-lauder
",Makeup,Double Wear Stay-in-Place Makeup,SIZE 1 oz/ 30 mL•ITEM 1465327,$42.00 ,230K loves,COLOR: Desert Beige 2N1 - light to medium beige with warm neutral undertones,4016 reviews,4.4
"Estee-lauder
",Makeup,Double Wear Nude Water Fresh Makeup SPF 30,SIZE 1 oz/ 30 mL•ITEM 1970342,$42.00 ,10K loves,COLOR: 5W1 Bronze,93 reviews,4
"Estee-lauder
",Makeup,Double Wear Stay-In-Place Flawless Wear Concealer,SIZE 0.24 oz/ 7 mL•ITEM 1465004,$28.00 ,20K loves,COLOR: Light Medium - light to medium complexions,228 reviews,4.2
"Estee-lauder
",Makeup,Double Wear Stay-in-Place Powder Makeup,SIZE 0.45 oz/ 14.50 mL•ITEM 1465616,$42.00 ,9395 loves,COLOR: Tawny 3W1 - tanned beige with warm undertones,65 reviews,4.4
"Estee-lauder
",Makeup,Double Wear Maximum Cover Camouflage Makeup For Face and Body SPF 15,SIZE 1 oz•ITEM 1667005,$42.00 ,10K loves,COLOR: 1N3 Creamy Vanilla,197 reviews,4
"Estee-lauder
",Makeup,Pure Color Envy Sculpting Lipstick,SIZE 0.12 oz/ 3.4 g•ITEM 1599083,$32.00 ,20K loves,only a few left - COLOR: Vengeful Red - bright red berry,99 reviews,4.3
"Estee-lauder
",Makeup,Bronze Goddess Powder Bronzer,SIZE 0.74 oz/ 21 g•ITEM 1503382,$42.00 ,10K loves,COLOR: 02 Medium,102 reviews,4.6
"Estee-lauder
",Makeup,Double Wear Zero-Smudge Lengthening Mascara,SIZE 0.22 oz/ 6.6 mL•ITEM 1533306,$26.00 ,8429 loves,COLOR: 01 Black,144 reviews,4.3
"Estee-lauder
",Makeup,DayWear BB Anti-Oxidant Beauty Benefit Crème SPF 35,SIZE 1 oz/ 30 mL•ITEM 1468115,$42.00 ,6088 loves,COLOR: 02 Medium,52 reviews,3.7
"Estee-lauder
",Makeup,DayWear Multi-Protection Anti-Oxidant Sheer Tint Release Moisturizer Broad Spectrum SPF 15 - Normal/ Combination Skin,SIZE 1.7 oz/ 50 mL•ITEM 1468131,$54.00 ,887 loves,COLOR:,9 reviews,4.8
"Estee-lauder
",Makeup,Sumptuous Extreme Lash Multiplying Volume Mascara,SIZE 0.27 oz/ 8 mL•ITEM 1464544,$27.50 ,4163 loves,COLOR: Extreme Black - true black,131 reviews,4.3
"Estee-lauder
",Makeup,Double Wear Light Stay-in-Place Makeup,ITEM 1593433,$42.00 ,20K loves,COLOR: Intensity 6.0,373 reviews,4.4
"Estee-lauder
",Makeup,The Illuminator Radiant Perfecting Primer + Finisher,SIZE 1 oz/ 30 mL•ITEM 1930346,$37.00 ,1728 loves,NA,8 reviews,4.8
"Estee-lauder
",Makeup,a,b,c,NA,NA,e,f
"Estee-lauder
",Makeup,Sumptuous Bold Volume™ Lifting Mascara,SIZE 0.21 oz•ITEM 1648708,$27.50 ,3605 loves,COLOR: Black,53 reviews,4.4
"Estee-lauder
",Makeup,a,b,c,NA,NA,e,f
"Estee-lauder
",Makeup,The Mattifier Shine Control Perfecting Primer + Finisher,SIZE 1 oz/ 30 mL•ITEM 1930320,$37.00 ,3634 loves,NA,13 reviews,4
"Estee-lauder
",Makeup,Double Wear Waterproof All Day Extreme Wear Concealer,SIZE 0.5 oz/ 15 mL•ITEM 1778661,$28.00 ,6525 loves,COLOR: 3C Medium - cool,43 reviews,4
"Estee-lauder
",Makeup,Perfecting Loose Powder,SIZE 0.35 oz/ 10 g•ITEM 1666791,$42.00 ,2101 loves,"COLOR: YKFM02 - light medium, sheer finish",20 reviews,4.2
"Estee-lauder
",Makeup,Double Wear Nude Cushion Stick Radiant Makeup,SIZE 0.47oz•ITEM 1848886,$42.00 ,6287 loves,COLOR: 7N1 Deep Amber,69 reviews,3.6
"Estee-lauder
",Makeup,The Smoother Universal Perfecting Primer,SIZE 1 oz/ 30 mL•ITEM 1930338,$37.00 ,2453 loves,NA,19 reviews,4.2
"Estee-lauder
",Makeup,Set + Refresh Perfecting Makeup Mist,SIZE 3.9 oz/ 116 mL•ITEM 1970383,$36.00 ,2606 loves,NA,6 reviews,4.5
"Estee-lauder
",Makeup,Gentle Eye Makeup Remover,SIZE 3.4 oz/ 100 mL•ITEM 1474972,$20.00 ,1211 loves,NA,45 reviews,3.6
"Estee-lauder
",Makeup,Double Wear Stay-In-Place Lip Pencil,SIZE 0.04 oz/ 1.2 g•ITEM 1599257,$25.00 ,3724 loves,COLOR: 18 Nude,14 reviews,3.8
"Estee-lauder
",Makeup,Bronze Goddess Summer Glow Multi-Palette,ITEM 1814219,$50.00 ,4477 loves,NA,21 reviews,3.8
"Estee-lauder
",Makeup,Perfectly Clean Triple-Action Cleanser/Toner/Makeup Remover,SIZE 5 oz/ 150 mL•ITEM 1520287,$28.00 ,1660 loves,NA,26 reviews,3.5
"Estee-lauder
",Makeup,a,b,c,NA,NA,e,f
